id,time,learning,certification,course,course_name,platform,total_learning_materials_covered,module,materials_covered
1,2025-08-10 12:30:00,API,IBM Data Science,4,"Python for Data Science, AI & Development",Coursera,6,4,"""Two Dimensional Numpy"", ""Hands-On Lab: Two Dimensional Numpy"", ""Reading: Beginner's Guide to Numpy"", ""Reading: Some Context on APIs"", ""Practice Quiz: Numpy in Python"", ""Module 4 Graded Quiz: Working with Data in Python"""
2,2025-08-10 12:59:00,"API and web scraping. Using BeautifulSoup in Python to scrape websites, with the help of Requests library to get the HTML structure of a website",IBM Data Science,4,"Python for Data Science, AI & Development",Coursera,10,5,"""REST APIs & HTTP Requests - Part 1"", ""REST APIs & HTTP Requests - Part 2"", ""Reading: Web Scraping and HTML Basics"", ""Hands-on lab: Access REST APIs & Request HTTP"", ""Hands-on lab: API Examples"", ""(Optional) HTML for Web Scraping"", ""(Optional) Web Scraping"", ""Reading: Web Scraping - A Key Tool in Data Science"", ""Reading: Web Scraping Tables using Pandas"", ""Hands-on Lab: Web Scraping"""
3,2025-08-10 17:35:00,"Learned to work with different file formats, including .csv, .xslx, .json and .xml. The most important file formats being .csv because it is the most common one. Other than this, it was a refresher for API and web scraping (quizzes and final exam)",IBM Data Science,4,"Python for Data Science, AI & Development",Coursera,5,5,"""Working with Different File Formats"",""Hands-on Lab: Working with Different File Formats"", ""Practice Quiz: REST APIs, Web Scraping, and Working With Files"", ""Module 5 Graded Quiz: APIs and Data Collection"", ""Final Exam for the Course"""
4,2025-08-10 18:28:00,"Learned to work with web scraping tools, BeautifulSoup. Also learned about yfinance stock and shares data.",IBM Data Science,5,Python Project for Data Science,Coursera,9,1,"""Intro to Web Scraping"", ""Web Scraping: A Key Tool in Data Science"", ""Intro to Web Scraping Using BeautifulSoup"", ""Project Overview"", ""Stock Shares"", ""Extracting Stock Data Using a Python Library"", ""Reading: yfinance library"", ""Extracting Data Using a Python Library"", ""Extracting Stock Data Using Web Scraping"""
5,2025-08-10 19:00:00,"Finished the web scraping lab, doing the web scraping quiz, and continuing doing the web scraping project about Tesla stock.",IBM Data Science,5,Python Project for Data Science,Coursera,4,1,"""Extracting Stock Data Using Web Scraping"", ""Extracting Stock Data Using Web Scraping Quiz"", ""Optional: Gamestop stock vs Tesla"", ""Hands-on Lab: Analyzing Historical Stock/Revenue Data and Building a Dashboard"""
6,2025-08-10 19:42:00,"Learned about web scraping with Pandas and BeautifulSoup. Also understood how to use the yfinance API and extract necessary data. Finished the analyzing historical stock and revenue data lab, and creating a dashboard. Also finished the assignment and peer-review assignment.",IBM Data Science,5,Python Project for Data Science,Coursera,3,1,"""Hands-on Lab: Analyzing Historical Stock/Revenue Data and Building a Dashboard"", ""Analyzing Historical Stock/Revenue Data and Building a Dashboard: assignment"", ""Analyzing Historical Stock/Revenue Data and Building a Dashboard: peer review"""
7,2025-08-10 20:47:00,"Learned about the definition of machine learning, machine learning applications and supervised learning. Supervised learning can be further divided into 2 categories, regression and classification. Regression means that the machine learning is trying to predict a number from an infinite possible numbers, while for classification, the machine learning is trying to predict from a finite number of categories or labels. Currently, the machine learning world is dominated by supervised learning.",DeepLearningAI Machine Learning,1,Supervised Machine Learning: Regression and Classification,Coursera,5,1,"""Welcome to machine learning!"", ""Applications of machine learning"", ""What is machine learning?"", ""Supervised learning part 1"", ""Supervised learning part 2"""
8,2025-08-11 13:56:00,"Learned about SELECT, COUNT, DISTINCT and LIMIT statements and WHERE clause. SELECT is a DML (Data manipulation language) that serves to read the data from the database.
           COUNT is an aggregation method to get the total count of the query. DISTINCT is a query to remove all the duplicate values. LIMIT is a query to limit the result to a certain number.
           WHERE clause is used when we want to query the data under certain conditions. We can combine multiple of these statements into one query, for example 
           SELECT COUNT(DISTINCT ReleaseYear) FROM FilmLocations WHERE ProductionCompany = 'Warner Bros. Pictures'; to get the total count of unique release years under the condition that the ProductionCompany is Warner Bros. Pictures
           ",IBM Data Science,6,Databases and SQL for Data Science with Python,Coursera,8,1,"""Course Introduction""; ""Course Overview""; ""Introduction to Databases""; ""SELECT Statement""; ""SELECT statement examples""; ""Hands-on Lab: Simple SELECT Statements""; ""COUNT, DISTINCT, LIMIT""; ""Hands-on Lab: COUNT, DISTINCT, LIMIT"""
9,2025-08-11 14:31:00,"Learned about COUNT, DISTINCT and LIMIT statements. Also learned about 2 new DML statements: UPDATE and DELETE. DML statements are used to read and modify data. Be careful, if you don't specify WHERE clauses in UPDATE and DELETE, all of the data will be updated or deleted.
           ",IBM Data Science,6,Databases and SQL for Data Science with Python,Coursera,4,1,"""Hands-on Lab: COUNT, DISTINCT, LIMIT""; ""INSERT Statement""; ""UPDATE and DELETE Statements""; ""Hands-on Lab: INSERT, UPDATE, and DELETE"""
10,2025-08-11 15:08:00,"Tested my knowledge of DML statements in the practice and graded quiz. Learned about relational database concepts, concepts about primary and foreign keys, where primary keys of a table must be unique to identify each row. Foreign keys are used to connect one table to another table.
           Learned about DDL statements, ALTER, DROP and TRUNCATE. ALTER statement can add or remove columns, modify the data type of columns, add or remove keys and add or remove constraints. DROP will delete the table in the database. TRUNCATE will delete all records of rows in the table, but not the table.
           ",IBM Data Science,6,Databases and SQL for Data Science with Python,Coursera,8,"(1, 2)","""Practice Quiz: Basic SQL""; ""Graded Quiz: Basic SQL""; ""Relational Database Concepts""; ""Types of SQL statements (DDL vs. DML)""; ""CREATE TABLE Statement""; ""ALTER, DROP, and TRUNCATE tables""; ""Examples to ALTER and TRUNCATE tables using MySQL""; ""Examples to CREATE and DROP tables"""
